N,geocode.b,geocode.bg,geocode.t,idnum,lon,lat,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,UATYPE,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,geocode.b1,geocode.b2,geocode.b3,geocode.bg1,geocode.bg2,geocode.bg3,transit.dist.1,transit.dist.2,transit.dist.3,transit.score1,transit.score2,transit.score3,transit.score.std,prc.latino.std,dens.cvap.std,prc.asian.std,prc.AmInd.std,prc.youth.std,prc.nonEngProf.std,prc.pov.std,prc.disabled.std,prc.CarAccess.std,rate.vbm.std,prc.ElNonReg.std,dens.poll.std,dens.work.std,popDens.std,final_composite_score,droppoff_score,geometry,cost_adjustment
117,6.07e+13,60670040103,6067004010,2385,-121.5298566,38.48450941,6,67,4010,3005,6.07e+13,Block 3005,G5040,U,77068.0,U,S,110729,0,38.4846047,-121.5267158,6.07e+13,6.07e+13,6.07e+13,60670040103,60670040103,60670040111,0.081805842,0.129534327,0.203552777,1.0,1.0,1.0,0.414892946,0.129746835,0.753164557,0.743670886,0.051282051,0.319620253,0.275316456,0.319620253,0.981012658,0.727848101,0.70989011,0.484177215,0.458241758,0.789878988,0.666131621,0.117304632,0.146355265,POINT (-121.5298566 38.48450941),1.25
125,6.07e+13,60670042012,6067004201,2388,-121.5023149,38.48485465,6,67,4201,2001,6.07e+13,Block 2001,G5040,U,77068.0,U,S,13683,0,38.4849451,-121.5022382,6.07e+13,6.07e+13,6.07e+13,60670042012,60670042012,60670042012,0.260365248,0.258089071,0.352917255,1.0,1.0,1.0,0.871371575,0.892405063,0.512658228,0.67721519,0.246794872,0.471518987,0.851265823,0.544303797,0.800632911,0.610759494,0.405494505,0.408227848,0.576923077,0.693069307,0.866422552,0.185754625,0.210248296,POINT (-121.5023149 38.48485465),0.75
131,6.07e+13,60670042032,6067004203,2391,-121.4747731,38.48519362,6,67,4203,2008,6.07e+13,Block 2008,G5040,U,77068.0,U,S,65808,0,38.4865019,-121.4733285,6.07e+13,6.07e+13,6.07e+13,60670042032,60670042032,60670042032,0.255755428,0.260753832,0.270816754,1.0,1.0,1.0,0.787326014,0.851265823,0.481012658,0.746835443,0.233974359,0.810126582,0.873417722,0.917721519,0.563291139,0.838607595,0.640659341,0.936708861,0.628571429,0.645764576,0.298605538,0.242777577,0.298980108,POINT (-121.4747731 38.48519362),0.5
150,6.07e+13,60670046015,6067004601,2631,-121.4386074,38.51441979,6,67,4601,5000,6.07e+13,Block 5000,G5040,U,77068.0,U,S,77943,0,38.5147772,-121.4398799,6.07e+13,6.07e+13,6.07e+13,60670046015,60670046015,60670046014,0.071810789,0.139483163,0.163104503,1.0,1.0,1.0,0.374398455,0.867088608,0.844936709,0.632911392,0.064102564,0.870253165,0.829113924,0.971518987,0.594936709,0.882911392,0.506593407,0.965189873,0.524175824,0.95269527,0.0,0.246956879,0.304868271,POINT (-121.4386074 38.51441979),0.5
152,6.07e+13,60670046021,6067004602,2684,-121.4571172,38.521396,6,67,4602,1013,6.07e+13,Block 1013,G5040,U,77068.0,U,S,19241,0,38.5212765,-121.4568404,6.07e+13,6.07e+13,6.07e+13,60670046021,60670046021,60670046021,0.12015595,0.121439323,0.140345508,1.0,1.0,1.0,0.38194078,0.971518987,0.259493671,0.430379747,0.016025641,0.351265823,0.990506329,0.889240506,0.693037975,0.82278481,0.638461538,0.819620253,0.31978022,0.661166117,0.908557384,0.201275421,0.250452636,POINT (-121.4571172 38.521396),0.5
171,6.07e+13,60670049043,6067004904,2394,-121.4472309,38.48552631,6,67,4904,3008,6.07e+13,Block 3008,G5040,U,77068.0,U,S,10370,0,38.4850419,-121.4469779,6.07e+13,6.07e+13,6.07e+13,60670049043,60670049043,60670049043,0.073199011,0.132782346,0.112087776,1.0,1.0,1.0,0.318069132,0.873417722,0.734177215,0.721518987,0.384615385,0.525316456,0.721518987,0.496835443,0.601265823,0.221518987,0.542857143,0.553797468,0.423076923,0.234323432,0.477176966,0.152409932,0.18563778,POINT (-121.4472309 38.48552631),1.0
179,6.07e+13,60670050013,6067005001,2398,-121.4105077,38.48596015,6,67,5001,3000,6.07e+13,Block 3000,G5040,U,77068.0,U,S,57703,0,38.4859324,-121.4105234,6.07e+13,6.07e+13,6.07e+13,60670050013,60670050012,60670050013,0.148193973,0.154213463,0.213454468,1.0,1.0,1.0,0.515861904,0.889240506,0.958860759,0.825949367,0.887820513,0.813291139,0.971518987,0.82278481,0.851265823,0.487341772,0.58021978,0.92721519,0.73956044,0.295929593,0.820074238,0.22513312,0.280766031,POINT (-121.4105077 38.48596015),0.5
189,6.07e+13,60670051022,6067005102,2400,-121.392146,38.48617289,6,67,5102,2003,6.07e+13,Block 2003,G5040,U,77068.0,U,S,471396,0,38.4912675,-121.3927443,6.07e+13,6.07e+13,6.07e+13,60670051022,60670051022,60670051022,0.852332272,0.858772054,0.91581518,1.0,1.0,1.0,0.0,0.731012658,0.534810127,0.797468354,0.336538462,0.550632911,0.661392405,0.636075949,0.838607595,0.556962025,0.040659341,0.655063291,0.598901099,0.892189219,0.251404494,0.184415079,0.223718876,POINT (-121.392146 38.48617289),0.75
197,6.07e+13,60670052022,6067005202,3011,-121.3844399,38.56543523,6,67,5202,2000,6.07e+13,Block 2000,G5040,U,77068.0,U,S,200309,24126,38.5641639,-121.3875574,6.07e+13,6.07e+13,6.07e+13,60670052022,60670052022,60670091051,0.183108594,0.184327151,0.210701474,0.25,1.0,1.0,0.578137219,0.607594937,0.449367089,0.424050633,0.176282051,0.984177215,0.044303797,0.452531646,0.329113924,0.313291139,0.336263736,0.664556962,0.602197802,0.108910891,0.317014446,0.177587564,0.217460982,POINT (-121.3844399 38.56543523),0.75
234,6.07e+13,60670055022,6067005502,3318,-121.4220297,38.60818616,6,67,5502,2002,6.07e+13,Block 2002,G5040,U,77068.0,U,S,48982,0,38.6074831,-121.4224417,6.07e+13,6.07e+13,6.07e+13,60670055022,60670055022,60670055022,0.108893022,0.123799384,0.19395127,1.0,1.0,1.0,0.426643677,0.939873418,0.462025316,0.335443038,0.71474359,0.841772152,0.863924051,0.886075949,0.452531646,0.819620253,0.878021978,0.537974684,0.723076923,0.96259626,0.795595907,0.252625122,0.284903603,POINT (-121.4220297 38.60818616),0.5
243,6.07e+13,60670055082,6067005508,3112,-121.4030933,38.57961594,6,67,5508,2000,6.07e+13,Block 2000,G5040,U,77068.0,U,S,269718,0,38.5797838,-121.405525,6.07e+13,6.07e+13,6.07e+13,60670056061,60670055082,60670056061,0.129063358,0.131331843,0.145675357,1.0,1.0,1.0,0.406070559,0.566455696,0.430379747,0.509493671,0.092948718,0.933544304,0.050632911,0.708860759,0.262658228,0.876582278,0.678021978,0.860759494,0.568131868,0.083608361,0.89255618,0.219214494,0.270860064,POINT (-121.4030933 38.57961594),0.5
266,6.07e+13,60670058031,6067005803,3217,-121.3481996,38.59463487,6,67,5803,1000,6.07e+13,Block 1000,G5040,U,77068.0,U,S,32876,0,38.5947883,-121.3478234,6.07e+13,6.07e+13,6.07e+13,60670058031,60670058031,60670058014,0.070678807,0.11472284,0.128553584,0.25,0.25,0.25,0.31395523,0.044303797,0.46835443,0.272151899,0.355769231,0.297468354,0.10443038,0.028481013,0.129746835,0.348101266,0.301098901,0.022151899,0.889010989,0.778877888,0.318519262,0.096441925,0.097771039,POINT (-121.3481996 38.59463487),2.0
278,6.07e+13,60670059013,6067005901,3488,-121.3488537,38.6306162,6,67,5901,3032,6.07e+13,Block 3032,G5040,U,77068.0,U,S,112336,0,38.6299405,-121.3476223,6.07e+13,6.07e+13,6.07e+13,60670059013,60670059013,60670059013,0.34626587,0.365590347,0.362676883,1.0,1.0,1.0,1.0745331,0.063291139,0.936708861,0.370253165,0.182692308,0.037974684,0.003164557,0.060126582,0.784810127,0.46835443,0.147252747,0.170886076,0.975824176,0.894389439,0.527989567,0.096334261,0.106587425,POINT (-121.3488537 38.6306162),2.0
293,6.07e+13,60670061023,6067006102,3376,-121.38538,38.61580857,6,67,6102,3001,6.07e+13,Block 3001,G5040,U,77068.0,U,S,18991,0,38.6159435,-121.3850169,6.07e+13,6.07e+13,6.07e+13,60670061023,60670061023,60670061023,0.17005793,0.165737589,0.165735695,1.0,1.0,1.0,0.501531213,0.57278481,0.338607595,0.03164557,0.717948718,0.64556962,0.117088608,0.588607595,0.721518987,0.981012658,0.428571429,0.582278481,0.259340659,0.492849285,0.367425762,0.182838921,0.217775629,POINT (-121.38538 38.61580857),0.75
324,6.07e+13,60670067022,6067006702,3530,-121.4501801,38.63664386,6,67,6702,2016,6.07e+13,Block 2016,G5040,U,77068.0,U,S,11421,0,38.6364665,-121.4490776,6.07e+13,6.07e+13,6.07e+13,60670067022,60670067022,60670067022,0.077019057,0.115508977,0.144615026,1.0,1.0,1.0,0.337143061,0.863924051,0.563291139,0.734177215,0.673076923,0.768987342,0.933544304,0.943037975,0.585443038,0.860759494,0.68021978,0.205696203,0.147252747,0.810781078,0.686898074,0.215037696,0.227379469,POINT (-121.4501801 38.63664386),0.5
330,6.07e+13,60670069002,6067006900,3314,-121.4588133,38.6077488,6,67,6900,2043,6.07e+13,Block 2043,G5040,U,77068.0,U,S,17865,0,38.6083377,-121.458814,6.07e+13,6.07e+13,6.07e+13,60670069002,60670069002,60670069002,0.064828508,0.093979615,0.125929149,1.0,1.0,1.0,0.284737272,0.816455696,0.522151899,0.477848101,0.78525641,0.594936709,0.791139241,0.89556962,0.971518987,0.898734177,0.756043956,0.613924051,0.18021978,0.718371837,0.449488363,0.203154959,0.239990402,POINT (-121.4588133 38.6077488),0.5
356,6.07e+13,60670070141,6067007014,3419,-121.4866892,38.62180568,6,67,7014,1001,6.07e+13,Block 1001,G5040,U,77068.0,U,S,16468,0,38.6220892,-121.4869493,6.07e+13,6.07e+13,6.07e+13,60670070141,60670070141,60670070131,0.390096117,0.403551321,0.40616523,1.0,1.0,1.0,1.199812668,0.924050633,0.89556962,0.303797468,0.275641026,0.848101266,0.496835443,0.462025316,0.449367089,0.844936709,0.461538462,0.506329114,0.450549451,0.071507151,0.773525281,0.211779802,0.242159549,POINT (-121.4866892 38.62180568),0.5
369,6.07e+13,60670070182,6067007018,3470,-121.5144287,38.62866008,6,67,7018,2051,6.07e+13,Block 2051,G5040,U,77068.0,U,S,206576,0,38.6313833,-121.5116458,6.07e+13,6.07e+13,6.07e+13,60670070191,60670070191,60670070111,0.335790657,0.348355759,0.330419333,1.0,1.0,1.0,1.01456575,0.392405063,0.579113924,0.873417722,0.689102564,0.35443038,0.607594937,0.325949367,0.123417722,0.57278481,0.359340659,0.873417722,0.947252747,0.830583058,0.26660313,0.155569342,0.207974405,POINT (-121.5144287 38.62866008),1.0
378,6.07e+13,60670070201,6067007020,3306,-121.5323793,38.60684058,6,67,7020,1005,6.07e+13,Block 1005,G5040,U,77068.0,U,S,418662,0,38.6005159,-121.5457751,6.07e+13,6.07e+13,6.07e+13,60670070201,60670070201,60670070201,0.74375823,0.746638792,0.79838147,1.0,1.0,1.0,0.0,0.560126582,0.582278481,0.544303797,0.724358974,0.39556962,0.462025316,0.920886076,0.009493671,0.117088608,0.6,0.689873418,0.976923077,0.346534653,0.317014446,0.178235638,0.219628043,POINT (-121.5323793 38.60684058),0.75
391,6.07e+13,60670071041,6067007104,3869,-121.5246626,38.67891772,6,67,7104,1018,6.07e+13,Block 1018,G5040,U,77068.0,U,S,31768,0,38.679161,-121.5237726,6.07e+13,6.07e+13,6.07e+13,60670071041,60670071041,60670071041,0.087124276,0.173769229,0.528132241,0.75,0.75,1.0,0.195670129,0.424050633,0.920886076,0.762658228,0.634615385,0.139240506,0.541139241,0.012658228,0.069620253,0.028481013,0.528571429,0.202531646,0.996703297,0.492849285,0.539225522,0.096068021,0.108219919,POINT (-121.5246626 38.67891772),2.0
395,6.07e+13,60670071052,6067007105,3812,-121.5061071,38.6719516,6,67,7105,2020,6.07e+13,Block 2020,G5040,U,77068.0,U,S,58640,0,38.6719984,-121.5056137,6.07e+13,6.07e+13,6.07e+13,60670071052,60670071052,60670071052,0.149588671,0.273977251,0.247053506,1.0,0.75,1.0,0.670619428,0.509493671,0.908227848,0.870253165,0.641025641,0.129746835,0.892405063,0.607594937,0.136075949,0.155063291,0.30989011,0.851265823,0.873626374,0.381738174,0.938302568,0.136531506,0.187607456,POINT (-121.5061071 38.6719516),1.25
404,6.07e+13,60670071072,6067007107,3691,-121.5426223,38.65709644,6,67,7107,2028,6.07e+13,Block 2028,G5040,U,77068.0,U,S,100726,0,38.6570647,-121.5417085,6.07e+13,6.07e+13,6.07e+13,60670071072,60670071072,60670071072,0.338239544,0.460483261,1.077924432,0.75,0.75,0.75,0.599042104,0.401898734,0.316455696,0.731012658,0.711538462,0.069620253,0.509493671,0.053797468,0.047468354,0.341772152,0.2,0.518987342,0.934065934,0.335533553,0.776635233,0.108069272,0.139208513,POINT (-121.5426223 38.65709644),2.0
419,6.07e+13,60670072091,6067007209,3995,-121.4513068,38.69421381,6,67,7209,1007,6.07e+13,Block 1007,G5040,U,77068.0,U,S,20984,0,38.6937057,-121.4515961,6.07e+13,6.07e+13,6.07e+13,60670072092,60670072091,60670072092,0.210960989,0.221040972,0.228781609,1.0,1.0,1.0,0.66078357,0.626582278,0.430379747,0.069620253,0.416666667,0.221518987,0.284810127,0.563291139,0.987341772,0.199367089,0.707692308,0.870253165,0.53956044,0.429042904,0.385433387,0.129019196,0.181234386,POINT (-121.4513068 38.69421381),1.25
440,6.07e+13,60670074064,6067007406,4004,-121.3684464,38.69517701,6,67,7406,4010,6.07e+13,Block 4010,G5040,U,77068.0,U,S,31391,0,38.6948254,-121.3700856,6.07e+13,6.07e+13,6.07e+13,60670074064,60670074064,60670074064,0.175038585,0.235955739,0.239299858,1.0,1.0,1.0,0.650294182,0.819620253,0.974683544,0.332278481,0.419871795,0.863924051,0.803797468,0.617088608,0.556962025,0.696202532,0.628571429,0.958860759,0.172527473,0.200220022,0.597562199,0.190161775,0.247693421,POINT (-121.3684464 38.69517701),0.75
454,6.07e+13,60670074162,6067007416,3888,-121.3497705,38.68099058,6,67,7416,2005,6.07e+13,Block 2005,G5040,U,77068.0,U,S,12926,0,38.6813102,-121.3504499,6.07e+13,6.07e+13,6.07e+13,60670074162,60670074162,60670074151,0.006482469,0.049357213,0.154823104,1.0,1.0,1.0,0.210662786,0.78164557,0.471518987,0.357594937,0.730769231,0.360759494,0.585443038,0.541139241,0.699367089,0.569620253,0.3,0.784810127,0.547252747,0.258525853,0.829353933,0.168025038,0.215113646,POINT (-121.3497705 38.68099058),0.75
456,6.07e+13,60670074172,6067007417,4117,-121.3871294,38.70936063,6,67,7417,2012,6.07e+13,Block 2012,G5040,U,77068.0,U,S,48264,0,38.7093005,-121.388219,6.07e+13,6.07e+13,6.07e+13,60670074172,60670074172,60670074172,0.028416246,0.058544608,0.227884091,1.0,1.0,1.0,0.314844944,0.35443038,0.199367089,0.512658228,0.169871795,0.889240506,0.765822785,0.180379747,0.155063291,0.306962025,0.982417582,0.810126582,0.81978022,0.746974697,0.426063403,0.153047573,0.201655168,POINT (-121.3871294 38.70936063),1.0
457,6.07e+13,60670074211,6067007421,4178,-121.3412165,38.71707483,6,67,7421,1005,6.07e+13,Block 1005,G5040,U,77068.0,U,S,35916,0,38.7165027,-121.3409786,6.07e+13,6.07e+13,6.07e+13,60670074211,60670074211,60670074212,1.162853459,1.104322112,1.083791885,1.0,1.0,1.0,0.0,0.246835443,0.981012658,0.575949367,0.858974359,0.829113924,0.636075949,0.075949367,0.17721519,0.053797468,0.695604396,0.300632911,0.959340659,0.413641364,0.908557384,0.129902212,0.147940186,POINT (-121.3412165 38.71707483),1.25
475,6.07e+13,60670074303,6067007430,4175,-121.3688452,38.71676624,6,67,7430,3002,6.07e+13,Block 3002,G5040,U,77068.0,U,S,171394,0,38.7178194,-121.3672556,6.07e+13,6.07e+13,6.07e+13,60670074303,60670074303,60670074303,0.881595808,0.893523527,0.900915864,1.0,1.0,1.0,0.0,0.515822785,0.89556962,0.53164557,0.179487179,0.544303797,0.734177215,0.443037975,0.632911392,0.246835443,0.521978022,0.556962025,0.748351648,0.728272827,0.944823435,0.149901099,0.18331882,POINT (-121.3688452 38.71676624),1.0
487,6.07e+13,60670075034,6067007503,3711,-121.3585798,38.65929871,6,67,7503,4000,6.07e+13,Block 4000,G5040,U,77068.0,U,S,173116,0,38.6578227,-121.3611033,6.07e+13,6.07e+13,6.07e+13,60670075034,60670075034,60670075034,0.347779952,0.369838181,0.410777182,1.0,1.0,1.0,1.128395315,0.21835443,0.496835443,0.493670886,0.647435897,0.639240506,0.452531646,0.702531646,0.813291139,0.629746835,0.672527473,0.424050633,0.369230769,0.411441144,0.31932183,0.153546251,0.178989289,POINT (-121.3585798 38.65929871),1.0
496,6.07e+13,60670076012,6067007601,3714,-121.3309725,38.65960495,6,67,7601,2004,6.07e+13,Block 2004,G5040,U,77068.0,U,S,18200,0,38.6597352,-121.3311548,6.07e+13,6.07e+13,6.07e+13,60670076012,60670076012,60670076012,0.180823968,0.229298966,0.31263966,1.0,1.0,1.0,0.722762594,0.436708861,0.943037975,0.0,0.701923077,0.10443038,0.386075949,0.439873418,0.034810127,0.768987342,0.598901099,0.452531646,0.786813187,0.876787679,0.964937801,0.152208791,0.17936069,POINT (-121.3309725 38.65960495),1.0
511,6.07e+13,60670078011,6067007801,3491,-121.321257,38.63092023,6,67,7801,1007,6.07e+13,Block 1007,G5040,U,77068.0,U,S,27033,0,38.6303014,-121.3221977,6.07e+13,6.07e+13,6.07e+13,60670078011,60670078012,60670078012,0.084153712,0.086561955,0.134458331,0.25,0.25,0.25,0.305173998,0.060126582,0.851265823,0.142405063,0.987179487,0.455696203,0.142405063,0.471518987,0.458860759,0.787974684,0.273626374,0.430379747,0.515384615,0.882288229,0.555527689,0.137442064,0.163264849,POINT (-121.321257 38.63092023),1.25
520,6.07e+13,60670079051,6067007905,3604,-121.2939112,38.64561071,6,67,7905,1008,6.07e+13,Block 1008,G5040,U,77068.0,U,S,66113,0,38.64533,-121.2943318,6.07e+13,6.07e+13,6.07e+13,60670079051,60670079051,60670079051,0.120123698,0.137665043,0.324419906,1.0,1.0,1.0,0.582208647,0.069620253,0.648734177,0.300632911,0.977564103,0.189873418,0.167721519,0.25,0.569620253,0.746835443,0.038461538,0.313291139,0.741758242,0.540154015,0.303170144,0.119885241,0.13868271,POINT (-121.2939112 38.64561071),1.25
548,6.07e+13,60670081113,6067008111,4012,-121.2947909,38.69598568,6,67,8111,3015,6.07e+13,Block 3015,G5040,U,77068.0,U,S,17296,0,38.6950732,-121.294986,6.07e+13,6.07e+13,6.07e+13,60670081113,60670081113,60670081112,0.176363438,0.190618677,0.218183886,1.0,1.0,1.0,0.585166,0.174050633,0.911392405,0.297468354,0.157051282,0.917721519,0.360759494,0.208860759,0.57278481,0.243670886,0.73956044,0.471518987,0.674725275,0.075907591,0.59961878,0.133141744,0.161432884,POINT (-121.2947909 38.69598568),1.25
558,6.07e+13,60670081194,6067008119,3775,-121.3034915,38.66710131,6,67,8119,4010,6.07e+13,Block 4010,G5040,U,77068.0,U,S,112856,0,38.6676855,-121.3063498,6.07e+13,6.07e+13,6.07e+13,60670081194,60670081195,60670081194,0.288877965,0.308821936,0.297114392,1.0,1.0,1.0,0.894814293,0.348101266,0.844936709,0.018987342,0.230769231,0.667721519,0.183544304,0.42721519,0.876582278,0.493670886,0.716483516,0.367088608,0.57032967,0.550055006,0.447933387,0.150422312,0.172447628,POINT (-121.3034915 38.66710131),1.0
560,6.07e+13,60670081202,6067008120,3956,-121.2670466,38.6890809,6,67,8120,2008,6.07e+13,Block 2008,G5040,U,77068.0,U,S,10484,0,38.688959,-121.2668308,6.07e+13,6.07e+13,6.07e+13,60670081202,60670081202,60670081202,0.317155467,0.345545555,0.348267976,1.0,1.0,1.0,1.010968998,0.458860759,0.528481013,0.015822785,0.903846154,0.607594937,0.14556962,0.344936709,0.746835443,0.53164557,0.451648352,0.512658228,0.701098901,0.156215622,0.473414928,0.158648213,0.189407706,POINT (-121.2670466 38.6890809),1.0
564,6.07e+13,60670081241,6067008124,4131,-121.2582069,38.71076628,6,67,8124,1028,6.07e+13,Block 1028,G5040,U,77068.0,U,S,28930,0,38.7116654,-121.2597137,6.07e+13,6.07e+13,6.07e+13,60670081253,60670081241,60670081241,0.750607195,0.754439588,0.76826629,1.0,1.0,1.0,0.0,0.117088608,0.651898734,0.193037975,0.967948718,0.240506329,0.139240506,0.28164557,0.316455696,0.028481013,0.767032967,0.224683544,0.989010989,0.350935094,0.731641252,0.09940395,0.112884963,POINT (-121.2582069 38.71076628),2.0
571,6.07e+13,60670081271,6067008127,4066,-121.3317481,38.70278337,6,67,8127,1014,6.07e+13,Block 1014,G5040,U,77068.0,U,S,40004,0,38.7029022,-121.332386,6.07e+13,6.07e+13,6.07e+13,60670081271,60670081301,60670081301,0.053858019,0.280033695,0.378151531,1.0,1.0,1.0,0.712043246,0.696202532,0.712025316,0.566455696,0.942307692,0.433544304,0.196202532,0.715189873,0.408227848,0.123417722,0.050549451,0.882911392,0.492307692,0.316831683,0.0,0.147639727,0.200614411,POINT (-121.3317481 38.70278337),1.0
