N,idnum,New Point?,lon,lat,transit_dist_1,transit_dist_2,transit_dist_3,transit_score1,transit_score2,transit_score3,transit_score_std,prc.latino.std,dens.cvap.std,prc_asian_std,prc_AmInd_std,prc.youth.std,prc.nonEngProf.std,prc.pov.std,prc.disabled.std,prc.CarAccess.std,rate.vbm.std,prc.ElNonReg.std,dens_poll_std,dens.work.std,popDens.std,center_score,dropoff_score,dens_poll_std_0_3,wtd_center_score
31,2889,,-121.4371742,38.55310645,0.056043795,0.072572191,0.100646138,0.25,0.25,0.25,0.229262123,0.107594937,0.879746835,0.382911392,0.826923077,0.943037975,0.215189873,0.737341772,0.164556962,0.905063291,0.835164835,0.550632911,0.420734776,0.00440044,0.353430979,0.516415219,0.494812686,0.420734776,0.217273842
32,2888,,-121.4464092,38.55299646,0.158114497,0.154846733,0.170897586,0.25,0.25,0.25,0.483858815,0.107594937,0.879746835,0.382911392,0.826923077,0.943037975,0.215189873,0.737341772,0.164556962,0.905063291,0.09010989,0.550632911,0.135883241,0.99669967,0.544793339,0.518740882,0.488747128,0.3,0.155622265
33,2887,,-121.4556443,38.55288577,0.081467767,0.103150611,0.109950671,1,1,1,0.29456905,0.107594937,0.879746835,0.382911392,0.826923077,0.943037975,0.215189873,0.737341772,0.164556962,0.905063291,0.09010989,0.550632911,0.135883241,0.99669967,0,0.453510444,0.411789077,0.3,0.136053133
34,2839,,-121.4185658,38.54609225,0.38503248,0.377769093,0.381473651,1,1,0.75,1.144275224,0.107594937,0.879746835,0.382911392,0.826923077,0.943037975,0.215189873,0.737341772,0.164556962,0.905063291,0.857142857,0.550632911,0.686462003,0.97579758,0,0.573027295,0.560153007,0.686462003,0.393361465
35,2838,,-121.4278,38.54598368,0.085238508,0.092421343,0.130158491,1,1,1,0.307818342,0.107594937,0.879746835,0.382911392,0.826923077,0.943037975,0.215189873,0.737341772,0.164556962,0.905063291,0.857142857,0.550632911,0.686462003,0.97579758,0.320826645,0.541865079,0.518921083,0.686462003,0.371969788
37,2938,,-121.465022,38.5600064,0.070467864,0.086394971,0.088937306,1,1,1,0.245800142,0.313291139,0.75,0.534810127,0.823717949,0.091772152,0.246835443,0.525316456,0.825949367,0.794303797,0.885714286,0.46835443,0.29089079,0.452145215,0.659309791,0.543371079,0.54812708,0.3,0.163011324
38,2886,,-121.4648793,38.55277437,0.216272741,0.247166606,0.265261793,1,1,1,0.728701139,0.313291139,0.75,0.534810127,0.823717949,0.091772152,0.246835443,0.525316456,0.825949367,0.794303797,0.841758242,0.46835443,0.461499748,0.258525853,0.709420144,0.544291601,0.562177785,0.461499748,0.251190437
39,2937,,-121.4742579,38.55989428,0.180413142,0.200333535,0.17502112,1,1,1,0.555767797,0.376582278,0.310126582,0.401898734,0.278846154,0.702531646,0.338607595,0.430379747,0.547468354,0.946202532,0.903296703,0.588607595,0.195772521,0.842684268,0,0.567207441,0.553689403,0.3,0.170162232
40,2936,,-121.4834937,38.55978147,0.068383064,0.093196962,0.103548509,1,1,1,0.265128536,0.376582278,0.310126582,0.401898734,0.278846154,0.702531646,0.338607595,0.430379747,0.547468354,0.946202532,0.889010989,0.588607595,0.732259688,0.867986799,0,0.540483423,0.522047501,0.732259688,0.395774222
41,2987,,-121.4928749,38.56689995,0.078141942,0.129900344,0.141342415,1,1,1,0.3493847,0.455696203,0.126582278,0.775316456,0.576923077,0.424050633,0.806962025,0.591772152,0.863924051,0.96835443,0.845054945,0.832278481,0.140412682,0.97029703,0.958065811,0.702519496,0.709585179,0.3,0.210755849
42,2988,,-121.4836382,38.56701348,0.059441067,0.106767053,0.144606248,1,1,1,0.310814367,0.455696203,0.126582278,0.775316456,0.576923077,0.424050633,0.806962025,0.591772152,0.863924051,0.96835443,0.779120879,0.832278481,0.375943634,0.881188119,0.404745185,0.645421466,0.641808308,0.375943634,0.242642091
43,3037,,-121.5114956,38.57390276,0.256146438,0.252669622,0.327324648,1,1,1,0.836140707,0.598101266,0.101265823,0.889240506,0.608974359,0.601265823,0.889240506,0.680379747,0.522151899,0.949367089,0.774725275,0.740506329,0.33467539,0.95489549,0,0.638581244,0.632897812,0.33467539,0.213717427
45,2986,,-121.5021116,38.56678571,0.039910756,0.063669376,0.081868957,1,1,1,0.185449089,0.598101266,0.101265823,0.889240506,0.608974359,0.601265823,0.889240506,0.680379747,0.522151899,0.949367089,0.994505495,0.740506329,0.259184701,0.393839384,0.911266051,0.65748771,0.662450575,0.3,0.197246313
46,2934,,-121.5019653,38.55955372,0.075640244,0.093675392,0.094096162,1,1,1,0.263411799,0.825949367,0.382911392,0.550632911,0.054487179,0.262658228,0.503164557,0.974683544,0.965189873,0.962025316,0.645054945,0.227848101,0.363865123,0.572057206,0.271368379,0.530682095,0.533695216,0.363865123,0.193096706
47,2985,,-121.5113483,38.56667077,0.225672798,0.262625045,0.237838917,1,1,1,0.72613676,0.825949367,0.382911392,0.550632911,0.054487179,0.262658228,0.503164557,0.974683544,0.965189873,0.962025316,0.993406593,0.227848101,0.113236034,0.859185919,0,0.655482602,0.657512758,0.3,0.196644781
48,2933,,-121.511201,38.55943879,0.09465022,0.136007907,0.289192646,1,1,1,0.519850772,0.825949367,0.382911392,0.550632911,0.054487179,0.262658228,0.503164557,0.974683544,0.965189873,0.962025316,0.993406593,0.227848101,0.113236034,0.859185919,0.956310193,0.666131141,0.687143385,0.3,0.199839342
49,2829,,-121.5109067,38.54497486,0.137440526,0.15589669,0.188910487,1,1,1,0.482247703,0.825949367,0.382911392,0.550632911,0.054487179,0.262658228,0.503164557,0.974683544,0.965189873,0.962025316,0.636263736,0.227848101,0.305485657,0.308030803,0,0.516727086,0.519823733,0.305485657,0.157852713
50,2881,,-121.5110538,38.55220682,0.314546874,0.320372449,0.388445073,1,1,1,1.023364396,0.825949367,0.382911392,0.550632911,0.054487179,0.262658228,0.503164557,0.974683544,0.965189873,0.962025316,0.096703297,0.227848101,0.319073981,0.093509351,0,0.528967021,0.530575825,0.319073981,0.168779613
51,2883,,-121.4925841,38.55243595,0.230572873,0.230439113,0.244339443,1,1,1,0.705351428,0.25,0.360759494,0.379746835,0.028846154,0.053797468,0.034810127,0.050632911,0.082278481,0.35443038,0.29010989,0.041139241,0.464519376,0.151815182,0.700140449,0.295136133,0.30690928,0.464519376,0.137096452
53,2935,,-121.4927295,38.55966794,0.112007345,0.122753391,0.115573392,1,1,1,0.350334129,0.25,0.360759494,0.379746835,0.028846154,0.053797468,0.034810127,0.050632911,0.082278481,0.35443038,0.131868132,0.041139241,0.238550579,0.745874587,0.746789727,0.301416961,0.299767656,0.3,0.090425088
54,2882,,-121.501819,38.55232174,0.152129583,0.164223984,0.148145285,1,1,1,0.464498852,0.085443038,0.636075949,0.376582278,0.387820513,0.183544304,0.066455696,0.148734177,0.737341772,0.398734177,0.221978022,0.015822785,0.786612984,0.529152915,0.615569823,0.361993471,0.373612746,0.786612984,0.284748765
55,2831,,-121.4924387,38.54520397,0.098102283,0.101111569,0.122219797,1,1,1,0.321433649,0.085443038,0.636075949,0.376582278,0.387820513,0.183544304,0.066455696,0.148734177,0.737341772,0.398734177,0.369230769,0.015822785,0.79265224,0.701870187,0.619231541,0.386175948,0.394984998,0.79265224,0.30610323
56,2830,,-121.5016727,38.54508977,0.066726442,0.076225466,0.100212517,1,1,1,0.243164425,0.085443038,0.636075949,0.376582278,0.387820513,0.183544304,0.066455696,0.148734177,0.737341772,0.398734177,0.323076923,0.015822785,0.3905385,0.850385039,0,0.317408452,0.314672793,0.3905385,0.123960221
58,2778,,-121.5015264,38.53785781,0.105608136,0.116994414,0.095472731,1,1,1,0.318075281,0.085443038,0.636075949,0.376582278,0.387820513,0.183544304,0.066455696,0.148734177,0.737341772,0.398734177,0.323076923,0.015822785,0.3905385,0.850385039,0,0.301397764,0.302692276,0.3905385,0.117707431
59,2832,,-121.4832047,38.54531747,0.225698737,0.277575824,0.28265771,1,1,0.25,0.785932271,0.911392405,0.025316456,0.256329114,0.435897436,0.056962025,0.762658228,0,0.917721519,0.14556962,0.50989011,0,0.60543533,0.0110011,0.271368379,0.360548314,0.403434809,0.60543533,0.218288687
62,2884,,-121.4833492,38.55254946,0.250563287,0.267980799,0.265803458,1,1,1,0.784347544,0.363924051,0.196202532,0.338607595,0.147435897,0.025316456,0.481012658,0.234177215,0.46835443,0.664556962,0.992307692,0.113924051,0.61751384,0.02750275,0,0.386874455,0.411158211,0.61751384,0.238900331
63,2885,,-121.4741142,38.55266227,0.086722987,0.103688797,0.125768581,1,1,1,0.316180365,0.835443038,0.351265823,0.253164557,0.919871795,0.791139241,0.424050633,0.765822785,0.990506329,0.943037975,0.930769231,0.734177215,0.320583795,0.729372937,0,0.659483936,0.641483234,0.320583795,0.211419863
64,2833,,-121.4739707,38.54543027,0.109313922,0.110441046,0.120241081,1,1,1,0.339996049,0.835443038,0.351265823,0.253164557,0.919871795,0.791139241,0.424050633,0.765822785,0.990506329,0.943037975,0.930769231,0.734177215,0.320583795,0.729372937,0,0.644366468,0.628900457,0.320583795,0.206573447
65,2834,,-121.4647366,38.54554236,0.034175182,0.047580255,0.123154024,1,1,1,0.204909461,0.835443038,0.351265823,0.253164557,0.919871795,0.791139241,0.424050633,0.765822785,0.990506329,0.943037975,0.93956044,0.734177215,0.339708103,0.180418042,0.730286918,0.678421632,0.67505683,0.339708103,0.230465325
67,2835,,-121.4555025,38.54565375,0.073706372,0.097326391,0.112300169,1,1,1,0.283332932,0.962025316,0.183544304,0.215189873,0.804487179,0.800632911,0.474683544,0.949367089,0.974683544,0.939873418,0.698901099,0.515822785,0.110719678,0.336633663,0.956711477,0.678112118,0.679741749,0.3,0.203433636
68,2836,,-121.4462684,38.54576443,0.067833613,0.101886995,0.098974998,1,1,1,0.268695606,0.829113924,0.772151899,0.392405063,0.810897436,0.174050633,0.487341772,0.389240506,0.091772152,0.620253165,0.353846154,0.262658228,0.651233015,0.435643564,0.41111557,0.399539844,0.390540561,0.651233015,0.260193537
70,2837,,-121.4370342,38.54587441,0.066989301,0.096656023,0.102896462,1,0.25,0.25,0.266541785,0.829113924,0.772151899,0.392405063,0.810897436,0.174050633,0.487341772,0.389240506,0.091772152,0.620253165,0.664835165,0.262658228,0.297433317,0.256325633,0.329604735,0.41480752,0.41005648,0.3,0.124442256
72,2787,,-121.4184277,38.53886019,0.050442504,0.102496254,0.106997783,1,1,1,0.25993654,0.841772152,0.939873418,0.344936709,0.871794872,0.981012658,0.588607595,0.727848101,0.946202532,0.39556962,0.481318681,0.439873418,0.308002013,0.525852585,0.304875602,0.574219242,0.567760306,0.308002013,0.176860683
73,2786,,-121.427661,38.53875163,0.028856879,0.070582025,0.099433187,1,0.25,1,0.198872091,0.841772152,0.939873418,0.344936709,0.871794872,0.981012658,0.588607595,0.727848101,0.946202532,0.39556962,0.721978022,0.439873418,0.690488173,0.061606161,0.64350923,0.603063652,0.607034521,0.690488173,0.41640832
74,2785,,-121.4368942,38.53864237,0.077774022,0.087056198,0.101151573,0.25,0.25,0.25,0.265981793,0.841772152,0.939873418,0.344936709,0.871794872,0.981012658,0.588607595,0.727848101,0.946202532,0.39556962,0.673626374,0.439873418,0.611474585,0.301430143,0.39065008,0.614843078,0.61100128,0.611474585,0.375960916
75,2784,,-121.4461275,38.5385324,0.142807793,0.147923177,0.153437379,0.25,1,0.25,0.444168349,0.841772152,0.939873418,0.344936709,0.871794872,0.981012658,0.588607595,0.727848101,0.946202532,0.39556962,0.810989011,0.439873418,0.376446905,0.260726073,0.706460674,0.661327241,0.66877425,0.376446905,0.248954593
76,2734,,-121.4182895,38.53162814,0.027111199,0.073172277,0.075630584,0.25,0.25,0.25,0.17591406,0.990506329,0.240506329,0.060126582,0.288461538,0.873417722,0.351265823,0.332278481,0.867088608,0.477848101,0.723076923,0.629746835,0.189733266,0.0110011,0.888292536,0.562456758,0.566992495,0.3,0.168737027
77,2733,,-121.4275219,38.5315196,0.027614343,0.074236531,0.091101282,1,1,0.25,0.192952156,0.990506329,0.240506329,0.060126582,0.288461538,0.873417722,0.351265823,0.332278481,0.867088608,0.477848101,0.805494505,0.629746835,0.122294917,0.795379538,0.287971509,0.53282164,0.527496664,0.3,0.159846492
79,2732,,-121.4367543,38.53141034,0.270778574,0.439902235,0.443797987,0.25,1,1,1.154478795,0.914556962,0.113924051,0.42721519,0.102564103,0.506329114,0.64556962,0.731012658,0.319620253,0.626582278,0.979120879,0.287974684,0.279315551,0.689768977,0.879363965,0.676707361,0.696860862,0.3,0.203012208
81,2622,,-121.4364745,38.51694632,0.115959357,0.144783949,0.210438548,1,1,1,0.471181853,0.803797468,0.525316456,0.819620253,0.108974359,0.924050633,0.939873418,0.879746835,0.762658228,0.870253165,0.436263736,0.981012658,0.328636135,0.855885589,0.980738363,0.768682022,0.759626435,0.328636135,0.252616689
82,2677,,-121.4366144,38.52417833,0.0571756,0.061542828,0.119814236,1,1,1,0.238532664,0.803797468,0.525316456,0.819620253,0.108974359,0.924050633,0.939873418,0.879746835,0.762658228,0.870253165,0.67032967,0.981012658,0.208857574,0.744774477,0.788372793,0.760869714,0.747619134,0.3,0.228260914
84,2678,,-121.4273829,38.52428757,0.033923412,0.054633969,0.07568908,1,1,1,0.164246461,0.806962025,0.57278481,0.977848101,0.346153846,0.787974684,0.993670886,0.924050633,0.806962025,0.800632911,0.475824176,0.993670886,0.281831907,0.447744774,0.581861958,0.655956887,0.645472687,0.3,0.196787066
85,2623,,-121.4272439,38.51705555,0.057025194,0.092779444,0.16563612,1,1,1,0.315440758,0.806962025,0.57278481,0.977848101,0.346153846,0.787974684,0.993670886,0.924050633,0.806962025,0.800632911,0.475824176,0.993670886,0.281831907,0.447744774,0.531651284,0.696067425,0.683304381,0.3,0.208820227
86,2624,,-121.4180133,38.51716408,0.189401174,0.187368291,0.214389118,0.25,0.25,0.25,0.591158583,0.806962025,0.57278481,0.977848101,0.346153846,0.787974684,0.993670886,0.924050633,0.806962025,0.800632911,0.258241758,0.993670886,0.099144439,0.193619362,0.544793339,0.648254503,0.643398505,0.3,0.194476351
87,2679,,-121.4181514,38.52439611,0.060415598,0.074221918,0.095797188,1,1,1,0.230434704,0.806962025,0.57278481,0.977848101,0.346153846,0.787974684,0.993670886,0.924050633,0.806962025,0.800632911,0.258241758,0.993670886,0.099144439,0.193619362,0.544793339,0.618194179,0.607326117,0.3,0.185458254
88,2725,,-121.5013802,38.53062586,0.319468357,0.355912066,0.328811853,1,1,1,1.004192276,0.202531646,0.515822785,0.613924051,0.426282051,0.07278481,0.319620253,0.262658228,0.14556962,0.303797468,0.812087912,0.044303797,0.758933065,0.518151815,0.375200642,0.37476495,0.399409332,0.758933065,0.284421512
90,2670,,-121.501234,38.52339392,0.17601927,0.192915576,0.190296315,1,1,1,0.559231161,0.202531646,0.515822785,0.613924051,0.426282051,0.07278481,0.319620253,0.262658228,0.14556962,0.303797468,0.86043956,0.044303797,0.740312028,0.95379538,0.735503612,0.429976841,0.446736435,0.740312028,0.318317027
91,2724,,-121.5106124,38.53051097,0.085433884,0.089467981,0.106159259,1,1,1,0.281061123,0.202531646,0.515822785,0.613924051,0.426282051,0.07278481,0.319620253,0.262658228,0.14556962,0.303797468,0.350549451,0.044303797,0.81680926,0.529152915,0.399026886,0.297715747,0.300551771,0.81680926,0.243176979
92,2669,,-121.5104653,38.52327905,0.064611448,0.080451912,0.130601279,1,1,1,0.275664639,0.202531646,0.515822785,0.613924051,0.426282051,0.07278481,0.319620253,0.262658228,0.14556962,0.303797468,0.350549451,0.044303797,0.81680926,0.529152915,0.27242175,0.258458076,0.262626265,0.81680926,0.21111095
93,2615,,-121.5010878,38.51616199,0.086455381,0.097539587,0.111097111,1,1,1,0.295092079,0.617088608,0.626582278,0.648734177,0.445512821,0.408227848,0.449367089,0.306962025,0.886075949,0.705696203,0.90989011,0.183544304,0.466532461,0.858085809,0.324939807,0.533227118,0.542265445,0.466532461,0.24876776
94,2614,,-121.5103182,38.51604713,0.113342072,0.121801676,0.218005422,1,1,1,0.453149171,0.617088608,0.626582278,0.648734177,0.445512821,0.408227848,0.449367089,0.306962025,0.886075949,0.705696203,0.718681319,0.183544304,0.724710619,0.550055006,0.444422151,0.511727322,0.525791245,0.724710619,0.370854224
95,2556,,-121.5101712,38.50881522,0.024308321,0.035002401,0.098129689,1,1,1,0.15744041,0.617088608,0.626582278,0.648734177,0.445512821,0.408227848,0.449367089,0.306962025,0.886075949,0.705696203,0.165934066,0.183544304,0.751383996,0.441144114,0.39065008,0.441314404,0.439744598,0.751383996,0.33159658
96,2727,,-121.4829158,38.53085352,0.360502262,0.419245266,0.421705021,1,1,1,1.201452548,0.876582278,0.167721519,0.363924051,0.423076923,0.689873418,0.28164557,0.844936709,0.930379747,0.901898734,0.523076923,0.316455696,0.269250126,0.684268427,0.254815409,0.620267049,0.625870197,0.3,0.186080115
97,2726,,-121.492148,38.53074004,0.158732061,0.171515658,0.227068806,1,1,1,0.557316525,0.876582278,0.167721519,0.363924051,0.423076923,0.689873418,0.28164557,0.844936709,0.930379747,0.901898734,0.434065934,0.316455696,0.46602919,0.708470847,0.708065811,0.618274966,0.616546591,0.46602919,0.288134181
98,2779,,-121.4922934,38.537972,0.045373324,0.042496123,0.076737973,1,1,0.25,0.16460742,0.876582278,0.167721519,0.363924051,0.423076923,0.689873418,0.28164557,0.844936709,0.930379747,0.901898734,0.998901099,0.316455696,0.269753397,0.456545655,0.423404896,0.602622983,0.599803287,0.3,0.180786895
99,2671,,-121.4920027,38.52350809,0.086597283,0.089144196,0.153505428,1,1,1,0.329246908,0.71835443,0.167721519,0.712025316,0.307692308,0.161392405,0.85443038,0.408227848,0.727848101,0.496835443,0.973626374,0.265822785,0.307498742,0.606160616,0.670044141,0.557891412,0.581672554,0.307498742,0.171550907
100,2672,,-121.4827714,38.52362156,0.078758753,0.103948994,0.161254495,1,1,1,0.343962242,0.71835443,0.167721519,0.712025316,0.307692308,0.161392405,0.85443038,0.408227848,0.727848101,0.496835443,0.941758242,0.265822785,0.261197786,0.401540154,0.450943018,0.527864265,0.549000257,0.3,0.158359279
101,2780,,-121.4830602,38.53808549,0.148915517,0.173018559,0.207612355,0.25,0.25,0.25,0.52954643,0.977848101,0.091772152,0.474683544,0.439102564,0.636075949,0.949367089,0.693037975,0.914556962,0.300632911,0.773626374,0.610759494,0.545546049,0.801980198,0,0.612642235,0.615475418,0.545546049,0.334224551
102,2728,,-121.4736836,38.53096629,0.183673241,0.187917049,0.223083364,1,1,1,0.594673654,0.977848101,0.091772152,0.474683544,0.439102564,0.636075949,0.949367089,0.693037975,0.914556962,0.300632911,0.578021978,0.610759494,0.128334172,0.630363036,0.375200642,0.583362352,0.596483447,0.3,0.175008706
104,2781,,-121.4738271,38.53819827,0.064785725,0.084523364,0.130996786,1,1,1,0.280305875,0.96835443,0.215189873,0.686708861,0.907051282,0.632911392,0.775316456,0.936708861,0.911392405,0.765822785,0.915384615,0.772151899,0.616507297,0.415841584,0,0.653941588,0.642220623,0.616507297,0.403159761
106,2500,,-121.491567,38.50181231,0.408260309,0.425813801,0.473922217,1,1,1,1.307996327,0.879746835,0.693037975,0.667721519,0.378205128,0.613924051,0.715189873,0.537974684,0.715189873,0.607594937,0.876923077,0.598101266,0.692501258,0.837183718,0.613111958,0.723663632,0.741494924,0.692501258,0.501137976
108,2777,,-121.5107595,38.53774291,0.105942011,0.116107042,0.157033064,1,1,1,0.379082118,0.648734177,0.39556962,0.693037975,0.365384615,0.120253165,0.253164557,0.056962025,0.075949367,0.534810127,0.862637363,0.10443038,0.653749371,0.00220022,0.396217897,0.349881008,0.358332372,0.653749371,0.228734489
