N,geocode.b,geocode.bg,geocode.t,idnum,lon,lat,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,UATYPE,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,geocode.b1,geocode.b2,geocode.b3,geocode.bg1,geocode.bg2,geocode.bg3,transit.dist.1,transit.dist.2,transit.dist.3,transit.score1,transit.score2,transit.score3,transit.score.std,prc.latino.std,dens.cvap.std,prc.asian.std,prc.AmInd.std,prc.youth.std,prc.nonEngProf.std,prc.pov.std,prc.disabled.std,prc.CarAccess.std,rate.vbm.std,prc.ElNonReg.std,dens.poll.std,dens.work.std,popDens.std,final_composite_score,droppoff_score,geometry,cost_adjustment,composite_cost_adjustment,dropoff_cost_adjustment,dropbox_cost_adjustment
243,6.07e+13,60670055082,6067005508,3112,-121.4030933,38.57961594,6,67,5508,2000,6.07e+13,Block 2000,G5040,U,77068.0,U,S,269718,0,38.5797838,-121.405525,6.07e+13,6.07e+13,6.07e+13,60670056061,60670055082,60670056061,0.129063358,0.131331843,0.145675357,1.0,1.0,1.0,0.406070559,0.566455696,0.430379747,0.509493671,0.092948718,0.933544304,0.050632911,0.708860759,0.262658228,0.876582278,0.678021978,0.860759494,0.568131868,0.083608361,0.89255618,0.219214494,0.270860064,POINT (-121.4030933 38.57961594),0.5,0.5,0.5,
272,6.07e+13,60670058042,6067005804,3218,-121.3390052,38.59473686,6,67,5804,2015,6.07e+13,Block 2015,G5040,U,77068.0,U,S,120342,0,38.5858536,-121.3431175,6.07e+13,6.07e+13,6.07e+13,60670077023,60670058042,60670077023,0.328758757,0.343584426,0.351253303,0.25,0.25,0.25,1.023596486,0.009493671,0.158227848,0.449367089,0.448717949,0.003164557,0.170886076,0.794303797,0.503164557,0.506329114,0.173626374,0.009493671,0.862637363,0.311331133,0.449488363,0.13055571,0.13112533,POINT (-121.3390052 38.59473686),1.25,1.25,1.25,
299,6.07e+13,60670062022,6067006202,3372,-121.4221676,38.61538234,6,67,6202,2006,6.07e+13,Block 2006,G5040,U,77068.0,U,S,17231,0,38.6140784,-121.4234834,6.07e+13,6.07e+13,6.07e+13,60670062021,60670062022,60670062022,0.342704308,0.367097648,0.36709028,1.0,1.0,1.0,1.076892236,0.958860759,0.237341772,0.414556962,0.682692308,0.648734177,0.686708861,0.911392405,0.797468354,0.848101266,0.010989011,0.775316456,0.03956044,0.673267327,0.0,0.204398943,0.25091793,POINT (-121.4221676 38.61538234),0.5,0.5,0.5,
310,6.07e+13,60670065002,6067006500,3532,-121.4317812,38.63686263,6,67,6500,2024,6.07e+13,Block 2024,G5040,U,77068.0,U,S,9907,0,38.6374143,-121.4319807,6.07e+13,6.07e+13,6.07e+13,60670065002,60670065002,60670065002,0.050167091,0.05394149,0.087309601,1.0,1.0,1.0,0.191418181,0.848101266,0.765822785,0.658227848,0.573717949,0.819620253,0.655063291,0.914556962,0.607594937,0.911392405,0.778021978,0.680379747,0.217582418,0.686468647,0.721960273,0.222675198,0.263497983,POINT (-121.4317812 38.63686263),0.5,0.5,0.5,
340,6.07e+13,60670070042,6067007004,3473,-121.4868335,38.62900181,6,67,7004,2022,6.07e+13,Block 2022,G5040,U,77068.0,U,S,14256,0,38.6291944,-121.4861729,6.07e+13,6.07e+13,6.07e+13,60670070042,60670070042,60670070042,0.107753008,0.107451525,0.11986339,1.0,1.0,1.0,0.335067923,0.952531646,0.863924051,0.5,0.737179487,0.96835443,0.759493671,0.594936709,0.297468354,0.544303797,0.826373626,0.806962025,0.89010989,0.465346535,0.711978331,0.237014188,0.28543191,POINT (-121.4868335 38.62900181),0.5,0.5,0.5,
378,6.07e+13,60670070201,6067007020,3306,-121.5323793,38.60684058,6,67,7020,1005,6.07e+13,Block 1005,G5040,U,77068.0,U,S,418662,0,38.6005159,-121.5457751,6.07e+13,6.07e+13,6.07e+13,60670070201,60670070201,60670070201,0.74375823,0.746638792,0.79838147,1.0,1.0,1.0,0.0,0.560126582,0.582278481,0.544303797,0.724358974,0.39556962,0.462025316,0.920886076,0.009493671,0.117088608,0.6,0.689873418,0.976923077,0.346534653,0.317014446,0.178235638,0.219628043,POINT (-121.5323793 38.60684058),0.75,0.75,0.75,
386,6.07e+13,60670071031,6067007103,3750,-121.5335693,38.66440932,6,67,7103,1009,6.07e+13,Block 1009,G5040,U,77068.0,U,S,12888,0,38.6651516,-121.5325616,6.07e+13,6.07e+13,6.07e+13,60670071031,60670071021,60670071031,0.526255271,0.617896164,0.806016799,0.75,0.75,0.75,0.0,0.765822785,0.417721519,0.863924051,0.618589744,0.430379747,0.439873418,0.202531646,0.268987342,0.174050633,0.652747253,0.930379747,0.907692308,0.614961496,0.0,0.148828627,0.204651412,POINT (-121.5335693 38.66440932),1.0,1.0,0.75,
395,6.07e+13,60670071052,6067007105,3812,-121.5061071,38.6719516,6,67,7105,2020,6.07e+13,Block 2020,G5040,U,77068.0,U,S,58640,0,38.6719984,-121.5056137,6.07e+13,6.07e+13,6.07e+13,60670071052,60670071052,60670071052,0.149588671,0.273977251,0.247053506,1.0,0.75,1.0,0.670619428,0.509493671,0.908227848,0.870253165,0.641025641,0.129746835,0.892405063,0.607594937,0.136075949,0.155063291,0.30989011,0.851265823,0.873626374,0.381738174,0.938302568,0.136531506,0.187607456,POINT (-121.5061071 38.6719516),1.25,1.25,1.0,
419,6.07e+13,60670072091,6067007209,3995,-121.4513068,38.69421381,6,67,7209,1007,6.07e+13,Block 1007,G5040,U,77068.0,U,S,20984,0,38.6937057,-121.4515961,6.07e+13,6.07e+13,6.07e+13,60670072092,60670072091,60670072092,0.210960989,0.221040972,0.228781609,1.0,1.0,1.0,0.66078357,0.626582278,0.430379747,0.069620253,0.416666667,0.221518987,0.284810127,0.563291139,0.987341772,0.199367089,0.707692308,0.870253165,0.53956044,0.429042904,0.385433387,0.129019196,0.181234386,POINT (-121.4513068 38.69421381),1.25,1.25,1.0,
471,6.07e+13,60670074292,6067007429,4006,-121.3500326,38.69538337,6,67,7429,2000,6.07e+13,Block 2000,G5040,U,77068.0,U,S,39764,0,38.6966657,-121.3501522,6.07e+13,6.07e+13,6.07e+13,60670074292,60670074292,60670074292,0.177665094,0.200845839,0.382391433,1.0,1.0,1.0,0.760902366,0.768987342,0.506329114,0.661392405,0.455128205,0.908227848,0.67721519,0.689873418,0.512658228,0.686708861,0.757142857,0.96835443,0.272527473,0.146314631,0.610955056,0.199579496,0.257680762,POINT (-121.3500326 38.69538337),0.5,0.5,0.5,
475,6.07e+13,60670074303,6067007430,4175,-121.3688452,38.71676624,6,67,7430,3002,6.07e+13,Block 3002,G5040,U,77068.0,U,S,171394,0,38.7178194,-121.3672556,6.07e+13,6.07e+13,6.07e+13,60670074303,60670074303,60670074303,0.881595808,0.893523527,0.900915864,1.0,1.0,1.0,0.0,0.515822785,0.89556962,0.53164557,0.179487179,0.544303797,0.734177215,0.443037975,0.632911392,0.246835443,0.521978022,0.556962025,0.748351648,0.728272827,0.944823435,0.149901099,0.18331882,POINT (-121.3688452 38.71676624),1.0,1.0,1.0,
487,6.07e+13,60670075034,6067007503,3711,-121.3585798,38.65929871,6,67,7503,4000,6.07e+13,Block 4000,G5040,U,77068.0,U,S,173116,0,38.6578227,-121.3611033,6.07e+13,6.07e+13,6.07e+13,60670075034,60670075034,60670075034,0.347779952,0.369838181,0.410777182,1.0,1.0,1.0,1.128395315,0.21835443,0.496835443,0.493670886,0.647435897,0.639240506,0.452531646,0.702531646,0.813291139,0.629746835,0.672527473,0.424050633,0.369230769,0.411441144,0.31932183,0.153546251,0.178989289,POINT (-121.3585798 38.65929871),1.0,1.0,1.0,
502,6.07e+13,60670076023,6067007602,3489,-121.3396548,38.63071824,6,67,7602,3000,6.07e+13,Block 3000,G5040,U,77068.0,U,S,74795,0,38.6305065,-121.3385131,6.07e+13,6.07e+13,6.07e+13,60670076023,60670076023,60670076023,0.609809661,0.616270959,0.623600592,1.0,1.0,1.0,0.0,0.151898734,0.705696203,0.056962025,0.830128205,0.376582278,0.158227848,0.522151899,0.689873418,0.712025316,0.403296703,0.528481013,0.645054945,0.357535754,0.482694623,0.14446279,0.176171651,POINT (-121.3396548 38.63071824),1.0,1.0,1.0,
520,6.07e+13,60670079051,6067007905,3604,-121.2939112,38.64561071,6,67,7905,1008,6.07e+13,Block 1008,G5040,U,77068.0,U,S,66113,0,38.64533,-121.2943318,6.07e+13,6.07e+13,6.07e+13,60670079051,60670079051,60670079051,0.120123698,0.137665043,0.324419906,1.0,1.0,1.0,0.582208647,0.069620253,0.648734177,0.300632911,0.977564103,0.189873418,0.167721519,0.25,0.569620253,0.746835443,0.038461538,0.313291139,0.741758242,0.540154015,0.303170144,0.119885241,0.13868271,POINT (-121.2939112 38.64561071),1.25,1.25,1.25,
548,6.07e+13,60670081113,6067008111,4012,-121.2947909,38.69598568,6,67,8111,3015,6.07e+13,Block 3015,G5040,U,77068.0,U,S,17296,0,38.6950732,-121.294986,6.07e+13,6.07e+13,6.07e+13,60670081113,60670081113,60670081112,0.176363438,0.190618677,0.218183886,1.0,1.0,1.0,0.585166,0.174050633,0.911392405,0.297468354,0.157051282,0.917721519,0.360759494,0.208860759,0.57278481,0.243670886,0.73956044,0.471518987,0.674725275,0.075907591,0.59961878,0.133141744,0.161432884,POINT (-121.2947909 38.69598568),1.25,1.25,1.25,
559,6.07e+13,60670081201,6067008120,4015,-121.2671696,38.6962774,6,67,8120,1013,6.07e+13,Block 1013,G5040,U,77068.0,U,S,10422,0,38.6958982,-121.2675319,6.07e+13,6.07e+13,6.07e+13,60670081201,60670081201,60670081201,0.246957316,0.254726382,0.351283734,1.0,1.0,1.0,0.852967432,0.458860759,0.528481013,0.015822785,0.903846154,0.607594937,0.14556962,0.344936709,0.746835443,0.53164557,0.60989011,0.512658228,0.756043956,0.606160616,0.657754815,0.161944916,0.19270441,POINT (-121.2671696 38.6962774),1.0,1.0,1.0,
597,6.07e+13,60670081381,6067008138,3778,-121.2758811,38.667395,6,67,8138,1002,6.07e+13,Block 1002,G5040,U,77068.0,U,S,148225,0,38.6698515,-121.2761132,6.07e+13,6.07e+13,6.07e+13,60670081381,60670081383,60670081381,0.234797834,0.204551095,0.21175683,1.0,1.0,1.0,0.65110576,0.813291139,0.373417722,0.085443038,0.926282051,0.341772152,0.629746835,0.446202532,0.620253165,0.287974684,0.596703297,0.601265823,0.102197802,0.941694169,0.823786116,0.119486299,0.155562248,POINT (-121.2758811 38.667395),1.25,1.25,1.25,
620,6.07e+13,60670082041,6067008204,3842,-121.2299826,38.67506702,6,67,8204,1013,6.07e+13,Block 1013,G5040,U,77068.0,U,S,32366,0,38.6748375,-121.2286219,6.07e+13,6.07e+13,6.07e+13,60670082041,60670082041,60670082041,0.225207134,0.247154971,0.309232091,0.25,0.25,1.0,0.781594196,0.164556962,0.610759494,0.094936709,0.522435897,0.363924051,0.113924051,0.227848101,0.734177215,0.651898734,0.33956044,0.164556962,0.924175824,0.752475248,0.468047753,0.13994422,0.149817638,POINT (-121.2299826 38.67506702),1.0,1.0,1.25,
638,6.07e+13,60670082092,6067008209,4024,-121.1843047,38.69711481,6,67,8209,2005,6.07e+13,Block 2005,G5040,U,77068.0,U,S,431690,0,38.6939571,-121.1844058,6.07e+13,6.07e+13,6.07e+13,60670082101,60670082101,60670082101,0.3153878,0.361346888,0.60650597,1.0,1.0,1.0,0.507551016,0.082278481,0.613924051,0.079113924,0.516025641,0.21835443,0.015822785,0.107594937,0.424050633,0.462025316,0.449450549,0.158227848,0.974725275,0.512651265,0.292887239,0.110698706,0.120192377,POINT (-121.1843047 38.69711481),1.25,1.25,2.0,
678,6.07e+13,60670085062,6067008506,3852,-121.1379363,38.67596576,6,67,8506,2001,6.07e+13,Block 2001,G5040,U,77068.0,U,S,413423,0,38.6728757,-121.1426985,6.07e+13,6.07e+13,6.07e+13,60670084023,60670085013,60670085013,0.054792945,0.115849361,0.240802059,0.25,0.25,1.0,0.411444365,0.050632911,0.085443038,0.905063291,0.669871795,0.212025316,0.389240506,0.189873418,0.079113924,0.863924051,0.030769231,0.971518987,0.048351648,0.907590759,0.450943018,0.081888441,0.14017958,POINT (-121.1379363 38.67596576),2.0,2.0,1.25,
709,6.07e+13,60670086003,6067008600,2491,-121.0984508,38.49639394,6,67,8600,3012,6.07e+13,Block 3012,G5040,U,73342.0,C,S,6691542,0,38.5041081,-121.0770492,6.07e+13,6.07e+13,6.07e+13,60670086001,60670086001,60670086002,7.231609706,7.249186952,7.686189628,1.0,0.75,0.75,0.0,0.098101266,0.96835443,0.107594937,0.788461538,0.063291139,0.414556962,0.778481013,0.259493671,0.183544304,0.232967033,0.047468354,0.964835165,0.445544554,0.255969101,0.125295173,0.128143274,POINT (-121.0984508 38.49639394),1.25,1.25,1.25,
724,6.07e+13,60670087051,6067008705,2870,-121.2370253,38.54543849,6,67,8705,1023,6.07e+13,Block 1023,G5040,U,77068.0,U,S,81729,0,38.5466506,-121.2369038,6.07e+13,6.07e+13,6.07e+13,60670087051,60670087051,60670087051,0.117103945,0.197613685,0.437848047,0.75,1.0,0.75,0.752565677,0.338607595,0.784810127,0.787974684,0.782051282,0.199367089,0.455696203,0.158227848,0.117088608,0.034810127,0.320879121,0.379746835,0.997802198,0.922992299,0.541081461,0.103728891,0.126513701,POINT (-121.2370253 38.54543849),2.0,2.0,1.25,
748,6.07e+13,60670089122,6067008912,3387,-121.2842119,38.61692312,6,67,8912,2013,6.07e+13,Block 2013,G5040,U,77068.0,U,S,85154,0,38.6176539,-121.2821725,6.07e+13,6.07e+13,6.07e+13,60670089122,60670089122,60670089122,0.098847056,0.114494152,0.147198759,1.0,1.0,1.0,0.360539967,0.234177215,0.272151899,0.243670886,0.53525641,0.186708861,0.151898734,0.294303797,0.294303797,0.411392405,0.801098901,0.196202532,0.776923077,0.051705171,0.866422552,0.114210321,0.125982473,POINT (-121.2842119 38.61692312),1.25,1.25,1.25,
757,6.07e+13,60670090061,6067009006,3122,-121.3111675,38.58064611,6,67,9006,1016,6.07e+13,Block 1016,G5040,U,77068.0,U,S,163748,0,38.5786213,-121.3119698,6.07e+13,6.07e+13,6.07e+13,60670090081,60670090061,60670090061,0.222521013,0.230348772,0.232572087,1.0,1.0,1.0,0.685441872,0.563291139,0.601265823,0.452531646,0.884615385,0.582278481,0.841772152,0.579113924,0.889240506,0.642405063,0.063736264,0.566455696,0.391208791,0.95049505,0.26850923,0.165497844,0.199485186,POINT (-121.3111675 38.58064611),0.75,0.75,0.75,
786,6.07e+13,60670091083,6067009108,2910,-121.3474155,38.55145765,6,67,9108,3003,6.07e+13,Block 3003,G5040,U,77068.0,U,S,47881,0,38.552035,-121.3470853,6.07e+13,6.07e+13,6.07e+13,60670091083,60670091083,60670091083,0.29627984,0.349749371,0.367974043,1.0,1.0,1.0,1.014003254,0.39556962,0.382911392,0.325949367,0.08974359,0.357594937,0.518987342,0.297468354,0.575949367,0.363924051,0.468131868,0.180379747,0.545054945,0.424642464,0.588282504,0.117576714,0.128399499,POINT (-121.3474155 38.55145765),1.25,1.25,1.25,
810,6.07e+13,60670093083,6067009308,1851,-121.372455,38.41442284,6,67,9308,3005,6.07e+13,Block 3005,G5040,U,77068.0,U,S,230545,0,38.4120781,-121.373864,6.07e+13,6.07e+13,6.07e+13,60670093071,60670093083,60670093083,3.414190151,3.427809561,3.550774137,1.0,1.0,1.0,0.0,0.610759494,0.879746835,0.262658228,0.705128205,0.490506329,0.082278481,0.313291139,0.958860759,0.658227848,0.549450549,0.370253165,0.715384615,0.944994499,0.334570626,0.167290166,0.189505355,POINT (-121.372455 38.41442284),0.75,0.75,1.0,
825,6.07e+13,60670093122,6067009312,2180,-121.3548973,38.45780581,6,67,9312,2007,6.07e+13,Block 2007,G5040,U,77068.0,U,S,118709,0,38.459266,-121.3564175,6.07e+13,6.07e+13,6.07e+13,60670093123,60670093122,60670093122,2.056346215,2.082523188,2.183428591,1.0,1.0,1.0,0.0,0.522151899,0.825949367,0.958860759,0.298076923,0.370253165,0.825949367,0.287974684,0.205696203,0.367088608,0.105494505,0.351265823,0.950549451,0.750275028,0.578200241,0.149881068,0.170957018,POINT (-121.3548973 38.45780581),1.0,1.0,1.0,
832,6.07e+13,60670093171,6067009317,2177,-121.3824295,38.45749414,6,67,9317,1016,6.07e+13,Block 1016,G5040,U,77068.0,U,S,136476,0,38.4553816,-121.3804649,6.07e+13,6.07e+13,6.07e+13,60670093171,60670093212,60670093173,0.891041163,0.933463064,1.149410575,1.0,1.0,1.0,0.0,0.661392405,0.803797468,0.844936709,0.317307692,0.629746835,0.623417722,0.401898734,0.420886076,0.28164557,0.557142857,0.458860759,0.816483516,0.301430143,0.320024077,0.167470024,0.195001669,POINT (-121.3824295 38.45749414),0.75,0.75,1.0,
844,6.07e+13,60670093202,6067009320,2228,-121.4009198,38.46447886,6,67,9320,2001,6.07e+13,Block 2001,G5040,U,77068.0,U,S,22127,0,38.4645496,-121.4014192,6.07e+13,6.07e+13,6.07e+13,60670093202,60670093191,60670093191,0.419331914,0.477174988,0.425014461,1.0,1.0,1.0,1.321521363,0.753164557,0.417721519,0.965189873,0.03525641,0.553797468,0.89556962,0.642405063,0.363924051,0.680379747,0.261538462,0.594936709,0.440659341,0.448844884,0.6035313,0.184224371,0.219920573,POINT (-121.4009198 38.46447886),0.75,0.75,0.75,
866,6.07e+13,60670093301,6067009330,2292,-121.3184425,38.47260377,6,67,9330,1017,6.07e+13,Block 1017,G5040,U,77068.0,U,S,42111,0,38.473255,-121.3191698,6.07e+13,6.07e+13,6.07e+13,60670093301,60670093301,60670093301,3.887197733,3.891044872,3.895597423,1.0,1.0,1.0,0.0,0.373417722,0.344936709,0.936708861,0.272435897,0.284810127,0.591772152,0.117088608,0.401898734,0.028481013,0.385714286,0.39556962,0.986813187,0.380638064,0.829353933,0.107436639,0.131170817,POINT (-121.3184425 38.47260377),2.0,2.0,1.25,
869,6.07e+13,60670093313,6067009331,1854,-121.3449386,38.41473223,6,67,9331,3023,6.07e+13,Block 3023,G5040,U,77068.0,U,S,31935,0,38.4150796,-121.3451859,6.07e+13,6.07e+13,6.07e+13,60670093313,60670093311,60670093313,4.474561813,4.515853847,4.360071378,1.0,1.0,1.0,0.0,0.268987342,0.952531646,0.901898734,0.403846154,0.367088608,0.446202532,0.155063291,0.183544304,0.170886076,0.318681319,0.547468354,0.942857143,0.413641364,0.893208266,0.114292948,0.147141049,POINT (-121.3449386 38.41473223),1.25,1.25,1.25,
872,6.07e+13,60670094031,6067009403,1753,-121.262144,38.4012307,6,67,9403,1005,6.07e+13,Block 1005,G5040,R,,,S,472586,0,38.3992855,-121.2648783,6.07e+13,6.07e+13,6.07e+13,60670094031,60670094031,60670094031,8.755279373,9.294838552,9.632472727,1.0,0.75,0.75,0.0,0.655063291,0.056962025,0.306962025,0.358974359,0.474683544,0.547468354,0.10443038,0.348101266,0.202531646,0.079120879,0.126582278,0.797802198,0.731573157,0.251404494,0.134070664,0.1416656,POINT (-121.262144 38.40123070000001),1.25,1.25,1.25,
881,6.07e+13,60670094073,6067009407,804,-121.2876627,38.2858047,6,67,9407,3025,6.07e+13,Block 3025,G5040,U,32451.0,C,S,225869,0,38.2854387,-121.2850689,6.07e+13,6.07e+13,6.07e+13,60670094073,60670094073,60670094073,13.4241735,13.43419853,13.5622847,1.0,1.0,1.0,0.0,0.930379747,0.996835443,0.275316456,0.25,0.398734177,0.537974684,0.351265823,0.357594937,0.120253165,0.382417582,0.490506329,0.995604396,0.658965897,0.350521669,0.167774238,0.197204618,POINT (-121.2876627 38.2858047),0.75,0.75,1.0,
892,6.07e+13,60670095041,6067009504,544,-121.305345,38.24962847,6,67,9504,1044,6.07e+13,Block 1044,G5040,U,32451.0,C,S,25297,0,38.2506099,-121.3053518,6.07e+13,6.07e+13,6.07e+13,60670095024,60670095041,60670095041,15.30884649,15.15668436,15.31009498,1.0,1.0,1.0,0.0,0.933544304,0.03164557,0.025316456,0.150641026,0.509493671,0.566455696,0.667721519,0.598101266,0.693037975,0.183516484,0.75,0.613186813,0.897689769,0.0,0.205019057,0.250019057,POINT (-121.305345 38.24962847),0.5,0.5,0.5,
